nama	kelas	n_pemakai	homograf_kbbi
Veronika	orang:nama-depan	4	tidak
Fitri	orang:nama-depan	4	ya
Dirk	orang:nama-depan	4	tidak
Reka	orang:nama-depan	4	ya
Katarina	orang:nama-depan	4	tidak
Mikael	orang:nama-depan	4	tidak
Lidia	orang:nama-depan	4	tidak
Reny	orang:nama-depan	4	tidak
Kanisius	orang:nama-depan	4	tidak
Salma	orang:nama-depan	4	tidak
Nabila	orang:nama-depan	4	tidak
Basuki	orang:nama-keluarga	4	tidak
Susanti	orang:nama-keluarga	4	tidak
Andini	orang:nama-keluarga	4	tidak
Mulia	orang:nama-keluarga	4	ya
Hassan	orang:nama-keluarga	4	tidak
Liem	orang:nama-keluarga	4	tidak
Zhang	orang:nama-keluarga	4	tidak
Wahid	orang:nama-keluarga	4	ya
Budiman	orang:nama-keluarga	4	ya
Aulia	orang:nama-keluarga	4	ya
Djojohadikusumo	orang:nama-keluarga	4	tidak
Anwar	orang:nama-keluarga	4	tidak
Fernandez	orang:nama-keluarga	4	tidak
Soejono	orang:nama-keluarga	4	tidak
Rorimpandey	orang:nama-keluarga	4	tidak
Tambunan	orang:nama-keluarga	4	ya
Muhammad	orang:nama-keluarga	4	ya
Arief	orang:nama-keluarga	4	tidak
Diana	orang:nama-keluarga	4	tidak
Panggabean	orang:nama-keluarga	4	tidak
Herman	orang:nama-keluarga	4	tidak
Iskandar	orang:nama-keluarga	4	tidak
Guo	orang:nama-keluarga	4	tidak
Zhong	orang:nama-keluarga	4	tidak
Yahya	orang:nama-keluarga	4	tidak
Pertiwi	orang:nama-keluarga	4	ya
Albar	orang:nama-keluarga	4	tidak
Hadi	orang:nama-keluarga	4	tidak
Moeloek	orang:nama-keluarga	4	tidak
Widodo	orang:nama-keluarga	4	tidak
Sarundajang	orang:nama-keluarga	4	tidak
Muis	orang:nama-keluarga	4	tidak
Karim	orang:nama-keluarga	4	ya
Akib	orang:nama-keluarga	4	tidak
Samuel	orang:nama-keluarga	4	tidak
Cahyadi	orang:nama-keluarga	4	tidak
Setiawati	orang:nama-keluarga	4	tidak
Larasati	orang:nama-keluarga	4	tidak
Ramadhan	orang:nama-keluarga	4	tidak
Maringka	orang:nama-keluarga	4	tidak
Nayoan	orang:nama-keluarga	4	tidak
Susilo	orang:nama-keluarga	4	tidak
Yeni	orang:nama-depan	3	tidak
Catherine	orang:nama-depan	3	tidak
Marco	orang:nama-depan	3	tidak
Justinus	orang:nama-depan	3	tidak
Eny	orang:nama-depan	3	tidak
Weni	orang:nama-depan	3	tidak
Leonardus	orang:nama-depan	3	tidak
Yayuk	orang:nama-depan	3	tidak
Francisca	orang:nama-depan	3	tidak
Louise	orang:nama-depan	3	tidak
